behind,blocked,clean,dirty,draft,has_hooks,unknown,unstable
0,29,882,657,0,0,2,1556
0,29,880,657,0,0,4,1549
0,29,878,657,0,0,10,1549
0,29,880,657,0,0,7,1549
0,29,880,657,0,0,13,1549
0,29,878,117,0,0,19,1549
0,29,878,117,0,0,83,1549
0,29,878,117,0,0,83,1549
0,29,878,117,0,0,155,1549
0,29,917,65,0,0,47,1640
0,29,929,65,0,0,36,1667
0,29,938,65,0,0,13,1686
0,29,937,65,0,0,13,1689
0,29,944,65,0,0,13,1698
0,29,947,65,0,0,13,1701
0,29,949,65,0,0,9,1706
0,29,951,65,0,0,3,1711
0,29,951,65,0,0,6,1711
0,29,951,65,0,0,6,1711
0,29,951,65,0,0,9,1711
0,29,940,64,0,0,3,1709
0,29,940,64,0,0,5,1709
0,29,937,64,0,0,7,1708
0,29,937,64,0,0,4,1710
0,29,934,64,0,0,7,1710
0,29,934,64,0,0,8,1712
0,29,933,64,0,0,12,1711
0,29,935,64,0,0,9,1710
0,29,934,63,0,0,10,1708
0,29,935,63,0,0,5,1707
0,29,935,63,0,0,5,1707
0,29,935,63,0,0,10,1707
0,29,934,63,0,0,3,1711
0,29,937,63,0,0,12,1712
0,29,937,63,0,0,12,1712
0,29,938,63,0,0,3,1718
0,29,938,63,0,0,3,1718
0,29,938,63,0,0,5,1718
0,29,935,63,0,0,9,1713
0,29,934,63,0,0,9,1713
0,29,939,63,0,0,3,1712
0,29,940,63,0,0,4,1711
0,29,938,63,0,0,12,1713
0,29,938,63,0,0,13,1713
0,29,942,63,0,0,5,1717
0,29,939,63,0,0,4,1712
0,29,938,63,0,0,3,1712
0,29,936,63,0,0,3,1712
0,29,936,63,0,0,5,1712
0,29,936,63,0,0,5,1712
0,29,937,63,0,0,3,1712
0,29,937,63,0,0,4,1712
0,29,938,63,0,0,5,1712
0,29,938,63,0,0,6,1712
0,29,936,63,0,0,6,1712
0,29,936,63,0,0,3,1713
0,29,936,63,0,0,3,1713
0,29,936,63,0,0,3,1713
0,29,935,63,0,0,3,1713
0,29,935,63,0,0,5,1713
0,29,926,62,0,0,5,1719
0,29,926,62,0,0,3,1719
0,29,926,62,0,0,3,1719
0,29,926,62,0,0,9,1719
0,29,926,62,0,0,9,1718
0,29,930,62,0,0,3,1718
0,29,930,62,0,0,9,1717
0,29,930,62,0,0,9,1717
0,29,930,62,0,0,9,1720
0,29,928,62,0,0,9,1720
0,29,928,62,0,0,10,1720
0,29,928,62,0,0,4,1722
0,29,928,62,0,0,11,1721
0,29,928,62,0,0,11,1721
0,29,930,62,0,0,6,1721
0,29,930,62,0,0,6,1720
0,29,932,62,0,0,4,1721
0,29,932,62,0,0,3,1721
0,29,931,62,0,0,3,1721
0,29,931,62,0,0,3,1721
0,29,931,62,0,0,7,1721
0,29,931,62,0,0,7,1721
0,29,933,62,0,0,4,1721
0,29,933,62,0,0,4,1721
0,29,933,62,0,0,3,1722
0,29,933,62,0,0,3,1722
0,29,933,62,0,0,3,1722
0,29,933,62,0,0,9,1722
0,29,934,62,0,0,3,1725
0,29,933,62,0,0,5,1725
0,29,933,62,0,0,3,1725
0,29,933,62,0,0,3,1725
0,29,933,62,0,0,3,1725
0,29,933,62,0,0,3,1725
0,29,933,62,0,0,3,1725
0,29,933,62,0,0,3,1725
0,29,933,62,0,0,3,1725
0,29,933,62,0,0,3,1725
0,29,933,62,0,0,3,1725
0,29,933,62,0,0,3,1725
0,29,933,62,0,0,3,1725
0,29,933,62,0,0,3,1725
0,29,933,62,0,0,3,1725
0,29,933,62,0,0,8,1725
0,29,938,62,0,0,6,1725
0,29,938,62,0,0,4,1726
0,29,938,62,0,0,4,1726
0,29,938,62,0,0,4,1726
0,29,938,62,0,0,4,1726
0,29,938,62,0,0,4,1726
0,29,938,62,0,0,4,1726
0,29,938,62,0,0,4,1725
0,29,938,62,0,0,4,1725
0,29,938,62,0,0,9,1725
0,29,938,62,0,0,9,1725
0,29,938,62,0,0,4,1726
0,29,938,62,0,0,4,1726
0,29,938,62,0,0,4,1726
0,29,938,62,0,0,4,1726
0,29,937,62,0,0,6,1726
0,29,937,62,0,0,4,1726
0,29,937,62,0,0,4,1724
0,29,938,62,0,0,6,1723
0,29,938,62,0,0,6,1723
0,29,938,62,0,0,10,1724
0,29,936,62,0,0,10,1724
0,29,937,62,0,0,4,1725
0,29,937,62,0,0,4,1724
0,29,937,62,0,0,9,1724
0,29,937,62,0,0,5,1725
0,29,937,62,0,0,4,1724
0,29,936,62,0,0,11,1724
0,29,936,62,0,0,16,1724
0,29,937,62,0,0,9,1728
0,29,939,62,0,0,13,1731
0,29,939,62,0,0,13,1731
0,29,941,62,0,0,4,1735
0,29,940,62,0,0,17,1735
0,29,945,62,0,0,5,1738
0,29,943,62,0,0,10,1738
0,29,944,62,0,0,5,1738
0,29,943,62,0,0,10,1738
0,29,942,62,0,0,5,1739
0,29,944,62,0,0,5,1737
0,29,941,62,0,0,10,1736
0,29,941,62,0,0,10,1736
0,29,943,62,0,0,5,1736
0,29,941,62,0,0,6,1736
0,29,940,62,0,0,6,1736
0,29,940,62,0,0,5,1737
0,29,940,62,0,0,7,1737
0,29,940,62,0,0,5,1739
0,29,940,62,0,0,5,1739
0,29,940,62,0,0,7,1739
0,29,940,62,0,0,7,1739
0,29,940,62,0,0,6,1740
0,29,940,62,0,0,5,1741
0,29,940,62,0,0,5,1740
0,29,940,62,0,0,6,1740
0,29,940,62,0,0,5,1740
0,29,940,62,0,0,5,1740
0,29,940,62,0,0,7,1740
0,29,940,62,0,0,7,1740
0,29,942,62,0,0,5,1740
0,29,942,62,0,0,5,1740
0,29,942,62,0,0,5,1740
0,29,942,62,0,0,5,1740
0,29,942,62,0,0,6,1740
0,29,942,62,0,0,5,1740
0,29,942,62,0,0,5,1740
0,29,942,62,0,0,5,1740
0,29,942,62,0,0,5,1740
0,29,942,62,0,0,5,1740
0,29,942,62,0,0,8,1740
0,29,943,62,0,0,5,1742
0,29,943,62,0,0,5,1742
0,29,943,62,0,0,5,1742
0,29,943,62,0,0,5,1742
0,29,943,62,0,0,5,1742
0,29,943,62,0,0,5,1740
0,29,943,62,0,0,5,1740
0,29,943,62,0,0,5,1740
0,29,943,62,0,0,5,1740
0,29,943,62,0,0,8,1740
0,29,944,62,0,0,5,1740
0,29,944,62,0,0,8,1740
0,29,944,62,0,0,8,1740
0,29,945,62,0,0,5,1741
0,29,945,62,0,0,5,1741
0,29,945,62,0,0,6,1741
0,29,944,62,0,0,5,1742
0,29,944,62,0,0,5,1742
0,29,944,62,0,0,9,1742
0,29,944,62,0,0,9,1742
0,29,940,62,0,0,5,1736
0,29,940,62,0,0,5,1736
0,29,940,62,0,0,17,1736
0,29,940,62,0,0,18,1736
0,29,940,62,0,0,18,1736
0,29,940,62,0,0,18,1736
0,29,945,62,0,0,5,1742
0,29,945,62,0,0,5,1742
0,29,945,62,0,0,5,1742
0,29,945,62,0,0,5,1742
0,29,944,62,0,0,5,1741
0,29,944,62,0,0,5,1741
0,29,944,62,0,0,5,1741
0,29,944,62,0,0,5,1741
0,29,944,62,0,0,5,1741
0,29,944,62,0,0,5,1741
0,29,944,62,0,0,5,1741
0,29,944,62,0,0,5,1740
0,29,944,62,0,0,8,1740
0,29,944,62,0,0,8,1740
0,29,947,62,0,0,5,1740
0,29,947,62,0,0,5,1740
0,29,947,62,0,0,5,1740
0,29,946,62,0,0,5,1740
0,29,946,62,0,0,5,1739
0,29,946,62,0,0,7,1739
0,29,945,62,0,0,7,1740
0,29,947,62,0,0,5,1739
0,29,947,62,0,0,7,1739
0,29,947,62,0,0,5,1739
0,29,947,62,0,0,4,1737
0,29,947,62,0,0,5,1737
0,29,947,62,0,0,4,1738
0,29,947,62,0,0,5,1738
0,29,947,62,0,0,7,1739
0,29,947,62,0,0,7,1732
0,29,948,62,0,0,15,1732
0,29,947,62,0,0,15,1732
0,29,952,62,0,0,6,1735
0,29,952,62,0,0,5,1737
0,29,950,62,0,0,5,1737
0,29,950,62,0,0,4,1737
0,29,950,62,0,0,4,1735
0,29,950,62,0,0,9,1735
0,29,950,62,0,0,4,1737
0,29,950,62,0,0,4,1736
0,29,950,62,0,0,7,1735
0,29,951,62,0,0,7,1734
0,29,953,62,0,0,4,1734
0,29,953,62,0,0,6,1734
0,29,952,62,0,0,6,1734
0,29,952,62,0,0,5,1735
0,29,952,62,0,0,6,1735
0,29,952,62,0,0,5,1736
0,29,952,62,0,0,5,1736
0,29,951,62,0,0,4,1735
0,29,951,62,0,0,4,1734
0,29,950,62,0,0,4,1733
0,29,950,62,0,0,5,1733
0,29,949,62,0,0,5,1734
0,29,948,62,0,0,7,1734
0,29,948,62,0,0,6,1735
0,29,949,62,0,0,4,1736
0,29,949,62,0,0,4,1736
0,29,949,62,0,0,4,1736
0,29,949,62,0,0,4,1736
0,29,949,62,0,0,4,1736
0,29,949,62,0,0,4,1736
0,29,949,62,0,0,4,1736
0,29,948,62,0,0,4,1736
0,29,948,62,0,0,4,1736
0,29,949,62,0,0,4,1735
0,29,949,62,0,0,4,1735
0,29,949,62,0,0,5,1735
0,29,950,62,0,0,4,1735
0,29,950,62,0,0,6,1735
0,29,952,62,0,0,4,1735
0,29,952,62,0,0,4,1735
0,29,951,62,0,0,4,1735
0,29,951,62,0,0,6,1735
0,29,951,62,0,0,4,1736
0,29,951,62,0,0,5,1735
0,29,951,62,0,0,4,1735
0,29,951,62,0,0,4,1735
0,29,951,62,0,0,4,1735
0,29,950,62,0,0,4,1734
0,29,950,62,0,0,4,1734
0,29,949,62,0,0,4,1734
0,29,948,62,0,0,4,1734
0,29,948,62,0,0,4,1734
0,29,948,62,0,0,4,1733
0,29,948,62,0,0,7,1733
0,29,948,62,0,0,4,1734
0,29,948,62,0,0,4,1733
0,29,945,62,0,0,6,1733
0,29,946,62,0,0,4,1733
0,29,945,62,0,0,4,1733
0,29,945,62,0,0,8,1733
0,29,945,62,0,0,8,1733
0,29,947,62,0,0,4,1733
0,29,946,62,0,0,5,1733
0,29,946,62,0,0,5,1732
0,29,946,62,0,0,4,1732
0,29,941,62,0,0,4,1731
0,29,941,62,0,0,7,1729
0,29,941,62,0,0,7,1731
0,29,940,62,0,0,7,1730
0,29,941,62,0,0,5,1731
0,29,938,62,0,0,4,1732
0,29,937,62,0,0,7,1731
0,29,939,62,0,0,5,1731
0,29,937,62,0,0,4,1732
0,29,936,62,0,0,5,1732
0,29,937,62,0,0,5,1732
0,29,937,62,0,0,4,1733
0,29,937,62,0,0,12,1733
0,29,942,62,0,0,4,1736
0,29,941,62,0,0,9,1736
0,29,943,62,0,0,4,1738
0,29,943,62,0,0,4,1738
0,29,942,62,0,0,4,1738
0,29,942,62,0,0,13,1737
0,29,941,62,0,0,14,1737
0,29,943,62,0,0,5,1739
0,29,943,62,0,0,10,1739
0,29,943,62,0,0,10,1737
0,29,943,62,0,0,5,1738
0,29,943,62,0,0,5,1738
0,29,943,62,0,0,5,1738
0,29,943,62,0,0,7,1739
0,29,942,62,0,0,7,1739
0,29,944,62,0,0,4,1739
0,29,943,62,0,0,4,1738
0,29,943,62,0,0,7,1738
0,29,944,62,0,0,4,1739
0,29,944,62,0,0,4,1738
0,29,944,62,0,0,6,1738
0,29,946,62,0,0,4,1737
0,29,946,62,0,0,4,1737
0,29,946,62,0,0,6,1737
0,29,948,62,0,0,4,1737
0,29,948,62,0,0,4,1737
0,29,946,62,0,0,7,1737
0,29,947,62,0,0,4,1738
0,29,947,62,0,0,4,1738
0,29,946,62,0,0,4,1737
0,29,946,62,0,0,4,1737
0,29,946,62,0,0,7,1737
0,29,948,62,0,0,4,1737
0,29,947,62,0,0,4,1737
0,29,947,62,0,0,4,1737
0,29,947,62,0,0,4,1737
0,29,947,62,0,0,4,1737
0,29,947,62,0,0,7,1737
0,29,947,62,0,0,7,1736
0,29,948,62,0,0,4,1736
0,29,947,62,0,0,4,1736
0,29,947,62,0,0,8,1736
0,29,948,62,0,0,4,1737
0,29,948,62,0,0,4,1736
0,29,948,62,0,0,6,1735
0,29,949,62,0,0,4,1735
0,29,949,62,0,0,4,1735
0,29,949,62,0,0,7,1735
0,29,949,62,0,0,7,1735
0,29,951,62,0,0,4,1736
0,29,948,62,0,0,4,1736
0,29,947,62,0,0,7,1736
0,29,947,62,0,0,4,1737
0,29,945,62,0,0,9,1737
0,29,947,62,0,0,4,1738
0,29,947,62,0,0,4,1738
0,29,947,62,0,0,4,1737
0,29,947,62,0,0,10,1737
0,29,950,62,0,0,4,1738
0,29,949,62,0,0,5,1738
0,29,950,62,0,0,4,1738
0,29,950,62,0,0,4,1738
0,29,950,62,0,0,7,1738
0,29,950,62,0,0,4,1739
0,29,950,62,0,0,4,1739
0,29,950,62,0,0,9,1738
0,29,951,62,0,0,4,1739
0,29,951,62,0,0,8,1739
0,29,952,62,0,0,4,1741
0,29,952,62,0,0,6,1741
0,29,952,62,0,0,6,1741
0,29,953,62,0,0,9,1741
0,29,956,62,0,0,4,1741
0,29,954,62,0,0,4,1740
0,29,953,62,0,0,4,1740
0,29,953,62,0,0,9,1740
0,29,954,62,0,0,4,1741
0,29,954,62,0,0,13,1741
0,29,955,62,0,0,4,1743
0,29,955,62,0,0,5,1742
0,29,954,62,0,0,7,1741
0,29,954,62,0,0,4,1740
0,29,954,62,0,0,8,1740
0,29,954,62,0,0,8,1740
0,29,955,62,0,0,4,1741
0,29,955,62,0,0,4,1741
0,29,955,62,0,0,9,1741
0,29,958,62,0,0,4,1741
0,29,957,62,0,0,4,1741
0,29,957,62,0,0,8,1741
0,29,957,62,0,0,8,1741
0,29,961,62,0,0,5,1741
0,29,962,62,0,0,4,1740
0,29,962,62,0,0,4,1740
0,29,962,62,0,0,5,1740
0,29,962,62,0,0,5,1740
0,29,962,62,0,0,4,1741
0,29,962,62,0,0,6,1741
0,29,962,62,0,0,6,1740
0,29,961,62,0,0,4,1740
0,29,961,62,0,0,6,1740
0,29,961,62,0,0,6,1740
0,29,962,62,0,0,4,1740
0,29,961,62,0,0,4,1740
0,29,961,62,0,0,4,1740
0,29,961,62,0,0,4,1740
0,29,961,62,0,0,5,1740
0,29,961,62,0,0,5,1740
0,29,960,62,0,0,4,1740
0,29,958,62,0,0,4,1741
0,29,958,62,0,0,6,1740
0,29,958,62,0,0,4,1742
0,29,956,62,0,0,4,1741
0,29,955,62,0,0,6,1741
0,29,956,62,0,0,4,1742
0,29,956,62,0,0,4,1742
0,29,956,62,0,0,8,1742
0,29,956,62,0,0,8,1742
0,29,956,62,0,0,6,1744
0,29,956,62,0,0,6,1744
0,29,956,62,0,0,4,1745
0,29,956,62,0,0,4,1745
0,29,955,62,0,0,7,1745
0,29,956,62,0,0,6,1745
0,29,955,62,0,0,4,1747
0,29,955,62,0,0,5,1747
0,29,955,62,0,0,5,1747
0,29,954,62,0,0,4,1747
0,29,955,62,0,0,6,1746
0,29,955,62,0,0,4,1747
0,29,953,62,0,0,4,1748
0,29,953,62,0,0,6,1744
0,29,953,62,0,0,6,1744
0,29,954,62,0,0,4,1743
0,29,954,62,0,0,7,1743
0,29,954,62,0,0,7,1743
0,29,954,62,0,0,4,1743
0,29,954,62,0,0,4,1743
0,29,954,62,0,0,6,1743
0,29,954,62,0,0,4,1744
0,29,952,62,0,0,8,1743
0,29,954,62,0,0,4,1744
0,29,954,62,0,0,4,1744
0,29,954,62,0,0,9,1744
0,29,953,62,0,0,9,1743
0,29,954,62,0,0,4,1744
0,29,953,63,0,0,4,1743
0,29,953,63,0,0,10,1743
0,29,952,63,0,0,4,1743
0,29,951,63,0,0,11,1743
0,29,949,63,0,0,5,1745
0,29,951,63,0,0,4,1744
0,29,950,63,0,0,9,1743
0,29,950,63,0,0,9,1743
0,29,951,63,0,0,4,1745
0,29,951,63,0,0,4,1745
0,29,951,63,0,0,8,1745
0,29,953,63,0,0,4,1746
0,29,953,63,0,0,8,1746
0,29,953,63,0,0,8,1746
0,29,954,63,0,0,4,1746
0,29,954,63,0,0,5,1746
0,29,954,63,0,0,4,1746
0,29,954,63,0,0,4,1746
0,29,954,63,0,0,6,1746
0,29,955,62,0,0,4,1747
0,29,955,62,0,0,4,1747
0,29,955,62,0,0,6,1747
0,29,957,62,0,0,4,1747
0,29,956,62,0,0,4,1747
0,29,955,62,0,0,8,1747
0,29,956,62,0,0,4,1747
0,29,956,62,0,0,5,1747
0,29,956,62,0,0,5,1747
0,29,957,62,0,0,4,1747
0,29,957,62,0,0,7,1746
0,29,958,62,0,0,4,1746
0,29,958,62,0,0,4,1745
0,29,958,62,0,0,4,1745
0,29,958,62,0,0,4,1745
0,29,957,62,0,0,4,1745
0,29,957,62,0,0,5,1745
0,29,957,62,0,0,5,1745
0,29,957,62,0,0,4,1745
0,29,956,62,0,0,4,1745
0,29,956,62,0,0,5,1745
0,29,956,62,0,0,5,1745
0,29,957,62,0,0,4,1744
0,29,957,62,0,0,4,1743
0,29,957,62,0,0,9,1743
0,29,959,62,0,0,7,1744
0,29,959,62,0,0,7,1744
0,29,960,62,0,0,4,1744
0,29,960,62,0,0,5,1744
0,29,960,62,0,0,5,1744
0,29,960,62,0,0,4,1740
0,29,959,62,0,0,4,1740
0,29,959,62,0,0,8,1740
0,29,960,62,0,0,4,1741
0,29,960,62,0,0,4,1741
0,29,960,62,0,0,5,1741
0,29,961,62,0,0,4,1741
0,29,961,62,0,0,4,1741
0,29,959,62,0,0,6,1741
0,29,959,62,0,0,6,1739
0,29,960,62,0,0,5,1739
0,29,961,62,0,0,5,1739
0,29,961,62,0,0,5,1739
0,29,961,62,0,0,4,1739
0,29,961,62,0,0,4,1739
0,29,961,62,0,0,7,1739
0,29,960,62,0,0,9,1738
0,29,959,62,0,0,4,1740
0,29,959,62,0,0,4,1740
0,29,959,62,0,0,4,1740
0,29,959,62,0,0,8,1740
0,29,959,62,0,0,8,1740
0,29,962,62,0,0,4,1741
0,29,962,62,0,0,10,1740
0,29,962,62,0,0,10,1739
0,29,965,62,0,0,4,1739
0,29,965,62,0,0,12,1739
0,29,965,62,0,0,12,1739
0,29,967,62,0,0,9,1739
0,29,967,62,0,0,4,1738
0,29,966,62,0,0,4,1738
0,29,966,62,0,0,9,1738
0,29,966,62,0,0,9,1738
0,29,965,62,0,0,6,1740
0,29,965,62,0,0,4,1740
0,29,965,62,0,0,4,1740
0,29,965,62,0,0,7,1740
0,29,967,62,0,0,4,1741
0,29,967,62,0,0,4,1741
0,29,967,62,0,0,4,1741
0,29,967,62,0,0,7,1741
0,29,969,62,0,0,4,1741
0,29,969,62,0,0,4,1741
0,29,969,62,0,0,4,1741
0,29,969,62,0,0,4,1741
0,29,968,62,0,0,4,1742
0,29,968,62,0,0,6,1741
0,29,967,62,0,0,4,1742
0,29,966,62,0,0,4,1742
0,29,966,62,0,0,5,1742
0,29,966,62,0,0,5,1741
0,29,967,62,0,0,6,1741
0,29,968,62,0,0,5,1742
0,29,969,62,0,0,4,1742
0,29,968,62,0,0,4,1742
0,29,968,62,0,0,4,1742
0,29,968,62,0,0,4,1742
0,29,968,62,0,0,5,1742
0,29,968,62,0,0,5,1742
0,29,968,62,0,0,4,1742
0,29,968,62,0,0,4,1742
0,29,968,62,0,0,4,1742
0,29,968,62,0,0,4,1742
0,29,968,62,0,0,7,1742
0,29,968,62,0,0,7,1742
0,29,969,62,0,0,4,1742
0,29,969,62,0,0,5,1742
0,29,970,62,0,0,4,1742
0,29,970,62,0,0,4,1742
0,29,969,62,0,0,5,1742
0,29,970,62,0,0,4,1742
0,29,969,62,0,0,4,1742
0,29,969,62,0,0,4,1742
0,29,968,62,0,0,4,1743
0,29,968,62,0,0,7,1741
0,29,969,62,0,0,6,1741
0,29,969,62,0,0,6,1741
0,29,969,62,0,0,6,1741
0,29,969,62,0,0,4,1743
0,29,967,62,0,0,5,1743
0,29,967,62,0,0,5,1743
0,29,966,62,0,0,3,1743
0,29,966,62,0,0,5,1743
0,29,966,62,0,0,5,1743
0,29,967,62,0,0,3,1743
0,29,967,62,0,0,3,1743
0,29,965,62,0,0,4,1740
0,29,963,62,0,0,4,1740
0,29,964,62,0,0,10,1740
0,29,964,62,0,0,10,1740
0,29,965,62,0,0,5,1742
0,29,966,62,0,0,3,1742
0,29,966,62,0,0,3,1741
0,29,965,62,0,0,5,1741
0,29,963,62,0,0,3,1742
0,29,963,62,0,0,3,1741
0,29,963,62,0,0,3,1741
0,29,963,62,0,0,6,1741
0,29,963,62,0,0,6,1741
0,29,964,62,0,0,3,1742
0,29,964,62,0,0,9,1742
0,29,963,62,0,0,9,1742
0,29,965,62,0,0,3,1744
0,29,965,62,0,0,7,1744
0,29,966,62,0,0,3,1745
0,29,966,62,0,0,3,1745
0,29,966,62,0,0,6,1745
0,29,967,62,0,0,3,1747
0,29,965,62,0,0,3,1746
0,29,965,62,0,0,4,1746
0,29,965,62,0,0,3,1746
0,29,965,62,0,0,4,1746
0,29,965,62,0,0,4,1746
0,29,965,62,0,0,4,1747
0,29,966,62,0,0,3,1747
0,29,966,62,0,0,3,1747
0,29,966,62,0,0,3,1747
0,29,966,62,0,0,3,1747
0,29,965,62,0,0,3,1747
